epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.891626238822937,0.9577507972717285,0.26135221123695374,1e-05,0.9018061757087708,0.8796526193618774,0.9809843301773071,0.9955745935440063,0.07306352257728577,0.9771167039871216,0.9838709831237793
1,0.8941147327423096,0.9603457450866699,0.2536700665950775,1e-05,0.9039390087127686,0.8826302886009216,0.9787471890449524,0.9957773685455322,0.07245571166276932,0.9748283624649048,0.981566846370697
2,0.8999626636505127,0.9608430862426758,0.2508675456047058,1e-05,0.9108507633209229,0.8873448967933655,0.9798657894134521,0.9957675337791443,0.07462508976459503,0.97926265001297,0.97926265001297
3,0.8988428711891174,0.9650459289550781,0.2390410304069519,1e-05,0.9136024713516235,0.881637692451477,0.9776286482810974,0.9964286088943481,0.07543431222438812,0.9704545736312866,0.9838709831237793
4,0.9005848169326782,0.9667335748672485,0.23411263525485992,1e-05,0.9120122194290161,0.8873448967933655,0.9765100479125977,0.9964010715484619,0.07772482186555862,0.9682539701461792,0.9838709831237793
5,0.9089212417602539,0.9703254103660583,0.22135260701179504,1e-06,0.9157841801643372,0.9012407064437866,0.9776286482810974,0.9962157607078552,0.07388416677713394,0.9704545736312866,0.9838709831237793
6,0.9073036909103394,0.9697335958480835,0.22336940467357635,1e-06,0.9155071973800659,0.8980149030685425,0.9776286482810974,0.9962908625602722,0.07391104847192764,0.9704545736312866,0.9838709831237793
7,0.9099166393280029,0.9672320485115051,0.2307884246110916,1e-06,0.9186930060386658,0.8999999761581421,0.9787471890449524,0.9963935017585754,0.07246404886245728,0.9726651310920715,0.9838709831237793
8,0.9017046093940735,0.9662614464759827,0.23397089540958405,1e-07,0.9155977368354797,0.8856079578399658,0.9776286482810974,0.9963634610176086,0.0728241354227066,0.9704545736312866,0.9838709831237793
9,0.9075525403022766,0.9685244560241699,0.22690331935882568,1e-07,0.9217346906661987,0.8913151621818542,0.9776286482810974,0.9963535070419312,0.07341171056032181,0.9704545736312866,0.9838709831237793
10,0.9063083529472351,0.9678036570549011,0.2294386327266693,1e-07,0.9198052883148193,0.8908188343048096,0.9787471890449524,0.9964010119438171,0.07235509902238846,0.9726651310920715,0.9838709831237793
11,0.9105387330055237,0.9700032472610474,0.22083713114261627,1e-07,0.9222137331962585,0.8972705006599426,0.9776286482810974,0.9964010715484619,0.07301519066095352,0.9704545736312866,0.9838709831237793
12,0.9064327478408813,0.9688848853111267,0.22621919214725494,1e-07,0.9149367213249207,0.896774172782898,0.9787471890449524,0.9963859915733337,0.07212445884943008,0.9726651310920715,0.9838709831237793
13,0.9135249257087708,0.9715104699134827,0.2160079926252365,1e-07,0.9205548763275146,0.9057071805000305,0.9776286482810974,0.9963859915733337,0.07211706787347794,0.9704545736312866,0.9838709831237793
14,0.9078013896942139,0.9693012237548828,0.2219390571117401,1e-07,0.920265793800354,0.8935483694076538,0.9787471890449524,0.9963610172271729,0.07192375510931015,0.9726651310920715,0.9838709831237793
15,0.910912036895752,0.9707852005958557,0.21856729686260223,1e-07,0.9240020513534546,0.8960297703742981,0.9787471890449524,0.9964360594749451,0.07142370939254761,0.9726651310920715,0.9838709831237793
16,0.9080502390861511,0.968845546245575,0.22421306371688843,1e-07,0.9203065037727356,0.8940446376800537,0.9776286482810974,0.9964160919189453,0.07231385260820389,0.9704545736312866,0.9838709831237793
17,0.9114097356796265,0.9711177945137024,0.2172638326883316,1e-07,0.9210659861564636,0.9004963040351868,0.9776286482810974,0.996383547782898,0.07250937819480896,0.9704545736312866,0.9838709831237793
18,0.9081746935844421,0.9688499569892883,0.22435803711414337,1e-07,0.919469952583313,0.8952853679656982,0.9776286482810974,0.9964560866355896,0.07225465774536133,0.9704545736312866,0.9838709831237793
19,0.9094189405441284,0.9703344702720642,0.2203223556280136,1e-08,0.9246399402618408,0.8920595645904541,0.9787471890449524,0.9963960647583008,0.07208415865898132,0.9726651310920715,0.9838709831237793
20,0.9135249257087708,0.969184160232544,0.2229280024766922,1e-08,0.9222587943077087,0.9037221074104309,0.9776286482810974,0.9964662194252014,0.07235892117023468,0.9704545736312866,0.9838709831237793
21,0.9105387330055237,0.9699020385742188,0.2217760980129242,1e-08,0.922644853591919,0.896774172782898,0.9787471890449524,0.9964385628700256,0.07232984900474548,0.9726651310920715,0.9838709831237793
22,0.9081746935844421,0.9686886668205261,0.2255166620016098,1e-09,0.917131245136261,0.8980149030685425,0.9776286482810974,0.996471107006073,0.07195974141359329,0.9704545736312866,0.9838709831237793
23,0.9101654887199402,0.9698541760444641,0.22185523808002472,1e-09,0.9206510782241821,0.8982630372047424,0.9776286482810974,0.9964035153388977,0.07187718898057938,0.9704545736312866,0.9838709831237793
24,0.9076769948005676,0.9683451056480408,0.22704628109931946,1e-09,0.9196018576622009,0.8940446376800537,0.9787471890449524,0.9964912533760071,0.07092896103858948,0.9726651310920715,0.9838709831237793
25,0.9120318293571472,0.9713316559791565,0.21654397249221802,1e-09,0.9213796854019165,0.9014888405799866,0.9776286482810974,0.9964686036109924,0.07194215804338455,0.9704545736312866,0.9838709831237793
26,0.9122806787490845,0.96863853931427,0.2250555455684662,1e-09,0.9257362484931946,0.8970223069190979,0.9776286482810974,0.9963961243629456,0.07279206812381744,0.9704545736312866,0.9838709831237793
27,0.9076769948005676,0.9697220325469971,0.22192224860191345,1e-09,0.9208909273147583,0.892555832862854,0.9787471890449524,0.9964937567710876,0.07195650041103363,0.9726651310920715,0.9838709831237793
28,0.9069304466247559,0.9669054746627808,0.23135073482990265,9.9999994e-11,0.921201229095459,0.8905707001686096,0.9776286482810974,0.9964837431907654,0.07222957909107208,0.9704545736312866,0.9838709831237793
29,0.9114097356796265,0.9710655212402344,0.2175350934267044,9.9999994e-11,0.9253846406936646,0.8955335021018982,0.9787471890449524,0.9964285492897034,0.07150968909263611,0.9726651310920715,0.9838709831237793
30,0.9092944860458374,0.96943199634552,0.22448325157165527,9.9999994e-11,0.9215836524963379,0.8952853679656982,0.9787471890449524,0.9964637160301208,0.07138492166996002,0.9726651310920715,0.9838709831237793
31,0.9112852811813354,0.9706364870071411,0.21932893991470337,9.999999e-12,0.9219028353691101,0.8992555737495422,0.9787471890449524,0.9964110255241394,0.07199911028146744,0.9726651310920715,0.9838709831237793
32,0.9073036909103394,0.9684342741966248,0.2273598313331604,9.999999e-12,0.9165610074996948,0.896774172782898,0.9787471890449524,0.9964085817337036,0.07121319323778152,0.9726651310920715,0.9838709831237793
33,0.9084235429763794,0.970041036605835,0.22263629734516144,9.999999e-12,0.9199388027191162,0.8952853679656982,0.9776286482810974,0.996383547782898,0.07183687388896942,0.9704545736312866,0.9838709831237793
34,0.9134005308151245,0.9701836705207825,0.21995827555656433,9.999999e-13,0.9248216152191162,0.9004963040351868,0.9776286482810974,0.996441125869751,0.07219065725803375,0.9704545736312866,0.9838709831237793
35,0.903197705745697,0.9685225486755371,0.2260083258152008,9.999999e-13,0.9162826538085938,0.8880893588066101,0.9776286482810974,0.996406078338623,0.07237590104341507,0.9704545736312866,0.9838709831237793
36,0.9082990884780884,0.9688847064971924,0.2250489443540573,9.999999e-13,0.9216389060020447,0.8930521011352539,0.9776286482810974,0.9964236617088318,0.07212488353252411,0.9704545736312866,0.9838709831237793
37,0.9075525403022766,0.9704721570014954,0.22022919356822968,9.999999e-14,0.9208706617355347,0.892307698726654,0.9787471890449524,0.996406078338623,0.0723213404417038,0.9726651310920715,0.9838709831237793
38,0.9058106541633606,0.968170166015625,0.22765445709228516,9.999999e-14,0.9102531671524048,0.9009925723075867,0.9776286482810974,0.9964410662651062,0.07283768802881241,0.9704545736312866,0.9838709831237793
39,0.9074281454086304,0.9678107500076294,0.2281017154455185,9.999999e-14,0.9163709878921509,0.8972705006599426,0.9776286482810974,0.9963659644126892,0.07330530136823654,0.9704545736312866,0.9838709831237793
40,0.9085479378700256,0.9691897630691528,0.22533346712589264,9.999999e-15,0.9212477803230286,0.8940446376800537,0.9787471890449524,0.9964060187339783,0.07189177721738815,0.9726651310920715,0.9838709831237793
41,0.9051885008811951,0.9678614139556885,0.22856390476226807,9.999999e-15,0.9132524132728577,0.8960297703742981,0.9787471890449524,0.9964285492897034,0.07113434374332428,0.9726651310920715,0.9838709831237793
42,0.9066815972328186,0.9696360230445862,0.22244523465633392,9.999999e-15,0.9173027873039246,0.8945409655570984,0.9776286482810974,0.9964286088943481,0.07205339521169662,0.9704545736312866,0.9838709831237793
43,0.9115341305732727,0.970888614654541,0.21851515769958496,9.999999e-16,0.9228025674819946,0.8987593054771423,0.9787471890449524,0.9963984489440918,0.07203534990549088,0.9726651310920715,0.9838709831237793
44,0.9091700911521912,0.9713018536567688,0.21810810267925262,9.999999e-16,0.919847309589386,0.8970223069190979,0.9787471890449524,0.9964736104011536,0.07153652608394623,0.9726651310920715,0.9838709831237793
