epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5468458533287048,0.5622693300247192,0.7135477662086487,1e-04,0.5445519089698792,0.5358216166496277,0.5391498804092407,0.5696721076965332,0.682661771774292,0.5474005937576294,0.4040631949901581
1,0.5730994343757629,0.6046355366706848,0.6793965697288513,1e-04,0.5772514343261719,0.5250501036643982,0.5850111842155457,0.677313506603241,0.6553409099578857,0.5557275414466858,0.8103837370872498
2,0.6035834550857544,0.64686119556427,0.6588819026947021,1e-04,0.6137133240699768,0.5448396801948547,0.6532438397407532,0.6969138383865356,0.6408477425575256,0.6842105388641357,0.5575620532035828
3,0.6172701120376587,0.665247917175293,0.6478427648544312,1e-04,0.6272222399711609,0.5656312704086304,0.5883668661117554,0.6678037047386169,0.7158645987510681,0.8260869383811951,0.21444694697856903
4,0.6392932534217834,0.6874539852142334,0.6334381699562073,1e-04,0.6590049266815186,0.5673847794532776,0.6565995812416077,0.7118367552757263,0.7087691426277161,0.7193548679351807,0.5033860206604004
5,0.6440213918685913,0.7026342153549194,0.6247732043266296,1e-04,0.6554852724075317,0.5971943736076355,0.6890380382537842,0.7426286339759827,0.5920307040214539,0.6887871623039246,0.6794582605361938
6,0.661191999912262,0.7166372537612915,0.6139605045318604,1e-04,0.677482545375824,0.6067134141921997,0.6789709329605103,0.7348154783248901,0.6039181351661682,0.746835470199585,0.5327313542366028
7,0.6636804938316345,0.7259372472763062,0.6061792373657227,1e-04,0.6819080114364624,0.6052104234695435,0.6778523325920105,0.761623203754425,0.6166393160820007,0.8087649345397949,0.45823928713798523
8,0.6675376296043396,0.7315669655799866,0.6018521785736084,1e-04,0.6849775910377502,0.6122244596481323,0.6521252989768982,0.6945313215255737,0.6610890626907349,0.679347813129425,0.5643340945243835
9,0.6964041590690613,0.7718439698219299,0.565974771976471,1e-05,0.7141280174255371,0.648296594619751,0.7237136363983154,0.799187183380127,0.5364406108856201,0.7799999713897705,0.6162528395652771
10,0.7160632014274597,0.7969153523445129,0.5407939553260803,1e-05,0.7287319302558899,0.6823647022247314,0.7382550239562988,0.8121355175971985,0.5179563760757446,0.7728459239006042,0.6681715846061707
11,0.7217867374420166,0.8013317584991455,0.5359635949134827,1e-05,0.7409440279006958,0.6763526797294617,0.7315436005592346,0.80816650390625,0.5218105912208557,0.7365967631340027,0.7133182883262634
12,0.7352246046066284,0.8190374374389648,0.5145188570022583,1e-05,0.7498659491539001,0.7006512880325317,0.7583892345428467,0.8321312665939331,0.5073004961013794,0.8042895197868347,0.6772009134292603
13,0.7446808218955994,0.8280606865882874,0.5050727725028992,1e-05,0.7627302408218384,0.7054108381271362,0.7751677632331848,0.8492540121078491,0.4783707857131958,0.8218085169792175,0.697516918182373
14,0.7567500472068787,0.8387607932090759,0.4907827377319336,1e-05,0.763518750667572,0.7392284274101257,0.7595078349113464,0.8403472900390625,0.48917680978775024,0.7556053996086121,0.7607223391532898
15,0.7668284177780151,0.8539742827415466,0.4703068733215332,1e-05,0.7825506925582886,0.734719455242157,0.7953020334243774,0.8618320226669312,0.474379301071167,0.823383092880249,0.747178316116333
16,0.7788975834846497,0.865768551826477,0.4508938193321228,1e-05,0.7930669784545898,0.7507514953613281,0.7841163277626038,0.8729234337806702,0.45394960045814514,0.7920560836791992,0.765237033367157
17,0.7899714112281799,0.878872275352478,0.43278080224990845,1e-05,0.8025209903717041,0.765531063079834,0.7975391745567322,0.8774807453155518,0.47144749760627747,0.852150559425354,0.715575635433197
18,0.7959437370300293,0.8809942007064819,0.42977431416511536,1e-05,0.8072100281715393,0.7740480899810791,0.8143176436424255,0.8886773586273193,0.43271106481552124,0.8258823752403259,0.7923250794410706
19,0.8085106611251831,0.8926417231559753,0.41147834062576294,1e-05,0.8166795969009399,0.7923346757888794,0.8199105262756348,0.8863924741744995,0.44059401750564575,0.8233944773674011,0.8103837370872498
20,0.8164737820625305,0.900707483291626,0.394770085811615,1e-05,0.829882025718689,0.7930861711502075,0.8199105262756348,0.892123281955719,0.4240046441555023,0.8204545378684998,0.8148984313011169
21,0.8263033628463745,0.9075297713279724,0.381990522146225,1e-05,0.8376690745353699,0.8066132068634033,0.8310961723327637,0.9099768400192261,0.39244550466537476,0.8364055156707764,0.8194130659103394
22,0.8310315012931824,0.9126425385475159,0.37240099906921387,1e-05,0.8410150408744812,0.8136272430419922,0.8076062798500061,0.9090031981468201,0.43344348669052124,0.7662082314491272,0.8803611993789673
23,0.8332711458206177,0.9160424470901489,0.36559832096099854,1e-05,0.8451327681541443,0.8133767247200012,0.8199105262756348,0.9068585634231567,0.41610482335090637,0.8065217137336731,0.8374717831611633
24,0.8394923210144043,0.9220160245895386,0.3526122272014618,1e-05,0.8465880155563354,0.8266533017158508,0.8199105262756348,0.9138883352279663,0.4323790967464447,0.7764706015586853,0.8939051628112793
25,0.8505661487579346,0.9339724183082581,0.3271137773990631,1e-06,0.8621852993965149,0.8321643471717834,0.8322147727012634,0.9184356927871704,0.40181463956832886,0.8071278929710388,0.8690744638442993
26,0.8589025735855103,0.9363590478897095,0.3208690285682678,1e-06,0.8750656247138977,0.835170328617096,0.8389261960983276,0.920032262802124,0.39482003450393677,0.8187633156776428,0.8668171763420105
27,0.8613910675048828,0.9398886561393738,0.31160828471183777,1e-06,0.8720268607139587,0.8449398875236511,0.8456375598907471,0.9237585663795471,0.3870541453361511,0.8293736577033997,0.8668171763420105
28,0.8657459020614624,0.9387895464897156,0.31480976939201355,1e-06,0.8831886053085327,0.8409318923950195,0.8400447368621826,0.9238937497138977,0.3926883041858673,0.8177965879440308,0.8713318109512329
29,0.8648749589920044,0.9397535920143127,0.3119107782840729,1e-06,0.8729466199874878,0.85195392370224,0.8456375598907471,0.9243491888046265,0.3868001699447632,0.821052610874176,0.8803611993789673
30,0.8645016551017761,0.942278265953064,0.30540260672569275,1e-06,0.8771109580993652,0.8456913828849792,0.8557047247886658,0.9254604578018188,0.3867274820804596,0.8369098901748657,0.8803611993789673
31,0.8678611516952515,0.9448805451393127,0.29861700534820557,1e-06,0.8762198090553284,0.8547094464302063,0.8512304425239563,0.9248923063278198,0.39369943737983704,0.8270041942596436,0.8848758339881897
32,0.870349645614624,0.943885862827301,0.30142074823379517,1e-06,0.8847156763076782,0.8496993780136108,0.8501118421554565,0.9256730079650879,0.391078919172287,0.8336933255195618,0.8713318109512329
33,0.8696030974388123,0.9426665902137756,0.3030957877635956,1e-07,0.8803617358207703,0.8534569144248962,0.8512304425239563,0.9276200532913208,0.39029595255851746,0.8283898234367371,0.8826184868812561
34,0.8653726577758789,0.9432427883148193,0.30308085680007935,1e-07,0.874806821346283,0.8507013916969299,0.854586124420166,0.9264864325523376,0.3883208632469177,0.8336886763572693,0.8826184868812561
35,0.8684832453727722,0.944046676158905,0.30052271485328674,1e-07,0.8771523833274841,0.8549599051475525,0.8456375598907471,0.926536500453949,0.39089980721473694,0.818371593952179,0.8848758339881897
36,0.8628841638565063,0.9401326179504395,0.3107651174068451,1e-08,0.8710837364196777,0.8496993780136108,0.8445190191268921,0.9272772669792175,0.39221078157424927,0.8166666626930237,0.8848758339881897
37,0.8724648356437683,0.9476934671401978,0.2910509407520294,1e-08,0.8810685873031616,0.859218418598175,0.8512304425239563,0.9271020889282227,0.38684678077697754,0.8283898234367371,0.8826184868812561
38,0.8718427419662476,0.9455075263977051,0.29728615283966064,1e-08,0.880719780921936,0.858216404914856,0.8489933013916016,0.9270269870758057,0.3901183307170868,0.8248944878578186,0.8826184868812561
39,0.8681100010871887,0.9461396932601929,0.2944194972515106,1e-09,0.8795960545539856,0.8509519100189209,0.8467561602592468,0.9272422194480896,0.387747198343277,0.8214285969734192,0.8826184868812561
40,0.8699763417243958,0.9468600749969482,0.2936709523200989,1e-09,0.8830257058143616,0.8509519100189209,0.8467561602592468,0.9260509610176086,0.39131391048431396,0.8241525292396545,0.8781038522720337
